"","Año","Mes","Sede","Producto","Peso Kg.","Tipo de Envase","Pais Origen"
"90","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","BAMBU, esterillas, esteras y cañizos con algún proceso de la CRF2",20,"CAJA(S)","COREA DEL SUR"
"91","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR CRUDA, sólido",125000,"SACO(S)","GUATEMALA"
"92","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR CRUDA, sólido",250000,"SACO(S)","GUATEMALA"
"93","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",21900,"SACO(S)","COLOMBIA"
"94","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPA, fécula",20000,"SACO(S)","HOLANDA"
"95","2023",1,"SANTA ROSA, TACNA","NECTARINA, fruto fresco",14700,"CAJA(S)","CHILE"
"96","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","UVA (PASAS), secas industrialmente",42000,"CAJA(S)","CHILE"
"97","2023",1,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",112500,"GRANEL","BOLIVIA"
"98","2023",1,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",200340,"SACO(S)","BOLIVIA"
"99","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",126770,"PAQUETES","CHILE"
"100","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, harina",3400,"BOLSAS","ITALIA"
"101","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",300,"BOLSAS","ITALIA"
"102","2023",1,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",145000,"SACO(S)","BOLIVIA"
"103","2023",1,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",124000,"SACO(S)","BRASIL"
"104","2023",1,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TRIGO, harina",1500,"SACO(S)","ESPAÑA"
"105","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AJO, secos industrial, cortados en trozos o en rodajas o triturados o pulverizados",105,"CAJA(S)","ALEMANIA"
"106","2023",1,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",87000,"SACO(S)","BOLIVIA"
"107","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR CRUDA, sólido",375000,"SACO(S)","COLOMBIA"
"108","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR CRUDA, sólido",225000,"SACO(S)","COLOMBIA"
"109","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PERA, fruta fresca",24210.9,"CAJA(S)","ARGENTINA"
"110","2023",1,"AGUAS VERDES, TUMBES","PITAHAYA, fruto fresco",8000,"CAJA(S)","ECUADOR"
"111","2023",1,"PUERTO DE PAITA , PIURA","ARVEJA, grano partido",74163,"SACO(S)","CANADA"
"112","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",77838,"SACO(S)","CANADA"
"113","2023",1,"SANTA ROSA, TACNA","ARANDANO, planta",10920,"CAJA(S)","CHILE"
"114","2023",1,"PUERTO DE PAITA , PIURA","GARBANZO, grano",52250,"SACO(S)","CANADA"
"115","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",20750,"PAQUETES","EEUU"
"116","2023",1,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","ESPARRAGO, semilla",32,"BALDES","CHILE"
"117","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CANELA, corteza entera seca al natural",14000,"CAJA(S)","SRI LANKA"
"118","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPA, almidon",20000,"SACO(S)","HOLANDA"
"119","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ AMARILLO DURO, grano",22003770,"GRANEL","ARGENTINA"
"120","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",63000,"PACAS","COLOMBIA"
"121","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","YUTE, sacos",15190,"SACO(S)","BANGLADESH"
"122","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","las demas, harina de semillas o frutos oleaginosos con algun proceso de la CR 2",24890,"SACO(S)","BULGARIA"
"123","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano trabajado (mondado, perlado, troceado o quebrantado)",23000,"SACO(S)","CHILE"
"124","2023",1,"AGUAS VERDES, TUMBES","Las demás coniferas, las demas maderas aserradas o desbastadas longitudinalmente, cortada o desenrollada, incluso cepillada,lijada o unida por lo extremos, de espesor superior a 6 mm, con algun tratamiento de la CRF 2",70460,"PIEZAS","ECUADOR"
"125","2023",1,"PUERTO DE PAITA , PIURA","ARVEJA, grano entero",265900,"GRANEL","CANADA"
"126","2023",1,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",174000,"SACO(S)","BOLIVIA"
"127","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",259864,"SACO(S)","CANADA"
"128","2023",1,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",168000,"GRANEL","BOLIVIA"
"129","2023",1,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","GIRASOL, torta",113000,"SACO(S)","BOLIVIA"
"130","2023",1,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",115500,"SACO(S)","BOLIVIA"
"131","2023",1,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TOMATE, semilla",0.112,"SACHETS","ESPAÑA"
"132","2023",1,"IÑAPARI, MADRE DE DIOS","MAIZ AMARILLO DURO, grano",48000,"GRANEL","BRASIL"
"133","2023",1,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",114900,"SACO(S)","BOLIVIA"
"134","2023",1,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",115800,"SACO(S)","BOLIVIA"
"135","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",123605,"SACO(S)","CANADA"
"136","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano entero",68947,"SACO(S)","CANADA"
"137","2023",1,"PUERTO DE PAITA , PIURA","ARVEJA, grano entero",25855,"SACO(S)","CANADA"
"138","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CANELA, corteza entera seca al natural",15000,"CAJA(S)","SRI LANKA"
"139","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CANELA, corteza entera seca al natural",14000,"CAJA(S)","SRI LANKA"
"140","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",106000,"SACO(S)","GUATEMALA"
"141","2023",1,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",27060,"GRANEL","BOLIVIA"
"142","2023",1,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",25019,"SACO(S)","BOLIVIA"
"143","2023",1,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",28140,"GRANEL","BOLIVIA"
"144","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",98884,"SACO(S)","CANADA"
"145","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PERA, fruta fresca",22932,"CAJA(S)","ARGENTINA"
"146","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, harina",21140,"SACO(S)","COLOMBIA"
"147","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR CRUDA, sólido",99850,"SACO(S)","NICARAGUA"
"148","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","FREJOL, grano",2724,"SACO(S)","CANADA"
"149","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",2000,"SACO(S)","CANADA"
"150","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MADERA, monturas y mangos de herramientas, monturas y mangos de cepillos, brochas o escobas, de madera; hormas, ensanchadores y tensores del calzado, de madera ; con algún proceso de la CRF 2",28120,"BOLSAS","CHINA"
"151","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano trabajado (mondado, perlado, troceado o quebrantado)",47980,"BOLSAS","CHILE"
"152","2023",1,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","COL, semilla",8.13,"SACHETS","JAPON"
"153","2023",1,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PEPINILLO, semilla",10.845,"SACHETS","JAPON"
"154","2023",1,"SANTA ROSA, TACNA","Los demas pulverizadores para agricultura u horticultura usados
",50,"UNIDADES","JAPON"
"155","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR CRUDA, sólido",250000,"SACO(S)","GUATEMALA"
"156","2023",1,"SANTA ROSA, TACNA","ARANDANO, planta",10080,"CAJAS DE PLASTICO","CHILE"
"157","2023",1,"SANTA ROSA, TACNA","ARANDANO, planta",10080,"CAJAS DE PLASTICO","CHILE"
"158","2023",1,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","CALABAZA, grano seco industrial",26000,"SACO(S)","CHINA"
